Timestamp,Human readable date,a4cf12c65fb8_flowrate,a4cf12c65fb8_litros,a4cf12c65fb8_mililitros,a4cf12c65fb8_segundos,context_a4cf12c65fb8_flowrate,context_a4cf12c65fb8_litros,context_a4cf12c65fb8_mililitros,context_a4cf12c65fb8_segundos,created_at_a4cf12c65fb8_flowrate,created_at_a4cf12c65fb8_litros,created_at_a4cf12c65fb8_mililitros,created_at_a4cf12c65fb8_segundos
1641564262916,2022-01-07 08:04:22,0.0,0.0,0.0,1098658.0,{},{},{},{},1641564262916,1641564262916,1641564262916,1641564262916
1641564203347,2022-01-07 08:03:23,0.0,0.0,0.0,1098598.0,{},{},{},{},1641564203347,1641564203347,1641564203347,1641564203347
1641564143117,2022-01-07 08:02:23,0.0,0.0,0.0,1098538.0,{},{},{},{},1641564143117,1641564143117,1641564143117,1641564143117
1641564083200,2022-01-07 08:01:23,0.0,0.0,0.0,1098478.0,{},{},{},{},1641564083200,1641564083200,1641564083200,1641564083200
1641564023233,2022-01-07 08:00:23,0.0,0.0,0.0,1098418.0,{},{},{},{},1641564023233,1641564023233,1641564023233,1641564023233
1641563965364,2022-01-07 07:59:25,0.0,0.0,0.0,1098358.0,{},{},{},{},1641563965364,1641563965364,1641563965364,1641563965364
1641563903068,2022-01-07 07:58:23,0.0,0.0,0.0,1098298.0,{},{},{},{},1641563903068,1641563903068,1641563903068,1641563903068
1641563842959,2022-01-07 07:57:22,0.0,0.0,0.0,1098238.0,{},{},{},{},1641563842959,1641563842959,1641563842959,1641563842959
1641563782917,2022-01-07 07:56:22,0.0,0.0,0.0,1098178.0,{},{},{},{},1641563782917,1641563782917,1641563782917,1641563782917
1641563723247,2022-01-07 07:55:23,0.0,0.0,0.0,1098118.0,{},{},{},{},1641563723247,1641563723247,1641563723247,1641563723247
1641563662922,2022-01-07 07:54:22,0.0,0.0,0.0,1098058.0,{},{},{},{},1641563662922,1641563662922,1641563662922,1641563662922
1641563603125,2022-01-07 07:53:23,0.0,0.0,0.0,1097998.0,{},{},{},{},1641563603125,1641563603125,1641563603125,1641563603125
1641563542995,2022-01-07 07:52:22,0.0,0.0,0.0,1097938.0,{},{},{},{},1641563542995,1641563542995,1641563542995,1641563542995
1641563482923,2022-01-07 07:51:22,0.0,0.0,0.0,1097878.0,{},{},{},{},1641563482923,1641563482923,1641563482923,1641563482923
1641563423018,2022-01-07 07:50:23,0.0,0.0,0.0,1097818.0,{},{},{},{},1641563423018,1641563423018,1641563423018,1641563423018
1641563363005,2022-01-07 07:49:23,0.0,0.0,0.0,1097757.0,{},{},{},{},1641563363005,1641563363005,1641563363005,1641563363005
1641563303153,2022-01-07 07:48:23,0.0,0.0,0.0,1097698.0,{},{},{},{},1641563303153,1641563303153,1641563303153,1641563303153
1641563242924,2022-01-07 07:47:22,0.0,0.0,0.0,1097638.0,{},{},{},{},1641563242924,1641563242924,1641563242924,1641563242924
1641563183318,2022-01-07 07:46:23,0.0,0.0,0.0,1097578.0,{},{},{},{},1641563183318,1641563183318,1641563183318,1641563183318
1641563122926,2022-01-07 07:45:22,0.0,0.0,0.0,1097518.0,{},{},{},{},1641563122926,1641563122926,1641563122926,1641563122926
1641563064979,2022-01-07 07:44:24,0.0,0.0,0.0,1097458.0,{},{},{},{},1641563064979,1641563064979,1641563064979,1641563064979
1641563002981,2022-01-07 07:43:22,0.0,0.0,0.0,1097398.0,{},{},{},{},1641563002981,1641563002981,1641563002981,1641563002981
1641562943097,2022-01-07 07:42:23,0.0,0.0,0.0,1097338.0,{},{},{},{},1641562943097,1641562943097,1641562943097,1641562943097
1641562883236,2022-01-07 07:41:23,0.0,0.0,0.0,1097278.0,{},{},{},{},1641562883236,1641562883236,1641562883236,1641562883236
1641562823061,2022-01-07 07:40:23,0.0,0.0,0.0,1097218.0,{},{},{},{},1641562823061,1641562823061,1641562823061,1641562823061
1641562763236,2022-01-07 07:39:23,0.0,0.0,0.0,1097158.0,{},{},{},{},1641562763236,1641562763236,1641562763236,1641562763236
1641562702959,2022-01-07 07:38:22,0.0,0.0,0.0,1097098.0,{},{},{},{},1641562702959,1641562702959,1641562702959,1641562702959
